Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
41,884,28,Bachelor,Medium,Medium,5,Very High,0,20,Excellent,Very High,80,2,5,6,Better,3,1,1,Y,1,Travel_Rarely,Research & Development,Technical Degree,Female,Human Resources,Single,No,5603,No
35,1227,14,Doctor,Very High,High,1,Medium,1,16,Excellent,Medium,80,3,16,4,Bad,6,1,2,Y,1,Travel_Frequently,Human Resources,Marketing,Female,Healthcare Representative,Divorced,No,6326,No
42,345,20,College,Medium,High,5,High,7,20,Excellent,Medium,80,2,9,3,Bad,4,1,3,Y,1,Non-Travel,Sales,Technical Degree,Female,Manager,Married,No,5389,No
50,1299,19,Below College,High,Low,3,High,2,25,Good,Low,80,0,10,1,Bad,2,1,4,Y,1,Non-Travel,Human Resources,Marketing,Female,Research Director,Divorced,Yes,4018,No
34,1162,26,Bachelor,Medium,Very High,3,Very High,9,13,Excellent,High,80,2,10,6,Good,0,1,5,Y,1,Travel_Frequently,Sales,Medical,Female,Sales Executive,Single,Yes,7626,No
34,858,15,Bachelor,Low,High,1,High,2,25,Excellent,Medium,80,2,15,3,Best,6,1,6,Y,1,Travel_Frequently,Sales,Other,Male,Research Scientist,Married,No,8775,No
51,637,16,Below College,Medium,Medium,4,High,7,19,Excellent,High,80,0,8,5,Good,0,1,7,Y,1,Travel_Frequently,Research & Development,Life Sciences,Male,Human Resources,Married,Yes,2878,No
43,1020,21,Doctor,High,Medium,2,Very High,7,22,Excellent,Medium,80,2,16,3,Best,11,1,8,Y,1,Travel_Frequently,Sales,Technical Degree,Male,Laboratory Technician,Single,No,4616,Yes
32,507,5,Below College,High,Very High,3,Low,1,20,Excellent,Very High,80,0,10,5,Best,7,1,9,Y,1,Travel_Rarely,Sales,Marketing,Male,Manager,Married,No,5538,Yes
41,624,3,College,Very High,Medium,3,Very High,7,24,Excellent,Very High,80,0,2,6,Bad,0,1,10,Y,1,Travel_Frequently,Human Resources,Human Resources,Female,Healthcare Representative,Married,Yes,6522,No
32,927,12,Below College,Medium,Medium,4,Low,0,21,Low,Medium,80,3,10,4,Better,5,1,11,Y,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,5897,Yes
32,1002,25,Bachelor,High,Very High,4,Medium,5,12,Excellent,Very High,80,1,2,6,Bad,2,1,12,Y,1,Non-Travel,Sales,Medical,Male,Sales Representative,Single,Yes,9600,No
39,135,20,Below College,Low,High,5,Low,7,16,Outstanding,Medium,80,1,11,5,Better,8,1,13,Y,1,Travel_Frequently,Sales,Marketing,Female,Manufacturing Director,Single,No,2000,Yes
19,784,27,Doctor,Very High,High,5,Low,2,22,Excellent,Very High,80,2,17,3,Best,15,1,14,Y,1,Travel_Rarely,Research & Development,Other,Female,Sales Executive,Single,Yes,2000,Yes
21,119,21,Master,Low,Medium,2,Medium,7,17,Excellent,Low,80,2,2,3,Bad,0,1,15,Y,1,Travel_Frequently,Human Resources,Other,Male,Manufacturing Director,Single,No,7409,No
31,420,4,Below College,Medium,Medium,2,Low,0,22,Excellent,Low,80,3,13,5,Better,7,1,16,Y,1,Non-Travel,Research & Development,Medical,Female,Manager,Single,No,3667,No
27,611,21,Doctor,Medium,High,1,Very High,8,23,Excellent,Low,80,3,4,2,Good,6,1,17,Y,1,Non-Travel,Research & Development,Medical,Male,Sales Representative,Married,Yes,10655,No
39,499,23,Doctor,Medium,Very High,5,Low,8,19,Excellent,High,80,3,12,4,Better,11,1,18,Y,1,Non-Travel,Sales,Other,Male,Sales Representative,Divorced,No,11998,Yes
