Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
47,314,11,Below College,Very High,Very High,5,Medium,7,12,Excellent,Low,80,1,6,3,Best,3,1,1,Y,1,Travel_Rarely,Sales,Marketing,Female,Human Resources,Single,Yes,11718,No
39,773,2,Below College,Very High,Medium,5,Very High,2,20,Excellent,Very High,80,2,27,4,Good,0,1,2,Y,1,Travel_Rarely,Human Resources,Life Sciences,Female,Sales Representative,Married,Yes,2000,No
27,245,11,College,Medium,High,4,High,1,12,Low,Low,80,0,23,6,Bad,0,1,3,Y,1,Travel_Rarely,Sales,Human Resources,Female,Sales Representative,Divorced,Yes,2140,Yes
38,1412,28,Master,High,Low,5,Medium,4,15,Excellent,Very High,80,1,0,2,Better,0,1,4,Y,1,Travel_Frequently,Research & Development,Human Resources,Female,Research Director,Married,Yes,2529,No
42,939,7,Doctor,Very High,Very High,5,Very High,6,21,Excellent,Very High,80,2,6,0,Good,16,1,5,Y,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Divorced,No,3579,No
43,642,24,Bachelor,Medium,Medium,1,Very High,2,25,Excellent,Low,80,0,9,4,Good,15,1,6,Y,1,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,Yes,7388,No
16,677,7,Doctor,Very High,Medium,1,Low,3,16,Excellent,Medium,80,2,14,0,Better,2,1,7,Y,1,Travel_Rarely,Human Resources,Technical Degree,Male,Sales Representative,Single,No,2000,Yes
25,971,5,Below College,High,Very High,1,Very High,2,22,Excellent,Very High,80,1,18,4,Better,5,1,8,Y,1,Non-Travel,Human Resources,Medical,Male,Manager,Single,Yes,9561,Yes
51,807,4,Below College,Medium,High,3,Very High,5,24,Low,Low,80,3,21,4,Bad,17,1,9,Y,1,Travel_Frequently,Human Resources,Marketing,Male,Healthcare Representative,Divorced,No,2000,Yes
40,1343,7,Below College,Low,Medium,1,Medium,1,20,Outstanding,Low,80,0,11,2,Good,6,1,10,Y,1,Non-Travel,Human Resources,Marketing,Male,Laboratory Technician,Divorced,No,5326,Yes
26,1409,11,Below College,Very High,Very High,1,High,7,15,Excellent,High,80,1,16,4,Good,0,1,11,Y,1,Non-Travel,Human Resources,Human Resources,Female,Human Resources,Married,Yes,4483,No
37,491,9,Below College,Very High,Medium,2,High,5,20,Excellent,Very High,80,2,5,3,Bad,11,1,12,Y,1,Travel_Rarely,Human Resources,Medical,Male,Healthcare Representative,Divorced,Yes,6216,No
56,1311,11,Below College,Very High,Very High,3,Medium,3,25,Excellent,Very High,80,0,6,2,Best,8,1,13,Y,1,Non-Travel,Research & Development,Marketing,Male,Sales Executive,Divorced,Yes,2000,Yes
31,921,12,Master,Very High,Low,2,Low,2,16,Excellent,Low,80,3,4,1,Bad,3,1,14,Y,1,Non-Travel,Sales,Technical Degree,Female,Sales Executive,Single,Yes,7277,Yes
37,1048,13,College,Medium,Low,1,Very High,2,18,Excellent,Medium,80,0,0,5,Best,0,1,15,Y,1,Non-Travel,Research & Development,Marketing,Female,Manager,Single,No,11406,Yes
42,253,19,Bachelor,Medium,High,1,Very High,8,18,Excellent,Medium,80,1,9,2,Best,4,1,16,Y,1,Travel_Rarely,Human Resources,Marketing,Female,Human Resources,Married,Yes,7511,No
