Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
39,549,17,Doctor,High,High,3,Medium,2,19,Excellent,Low,80,1,16,5,Good,7,1,1,Y,1,Travel_Rarely,Human Resources,Technical Degree,Female,Research Scientist,Divorced,Yes,8926,No
30,313,13,Doctor,Very High,Low,1,High,6,14,Excellent,Low,80,0,9,2,Bad,9,1,2,Y,1,Travel_Rarely,Human Resources,Marketing,Female,Manufacturing Director,Divorced,Yes,9717,Yes
35,289,23,College,Very High,Medium,4,Low,1,16,Excellent,Very High,80,1,10,6,Good,12,1,3,Y,1,Travel_Rarely,Human Resources,Other,Male,Human Resources,Single,Yes,11020,Yes
39,525,20,College,High,Low,3,Medium,2,25,Excellent,Medium,80,1,13,2,Best,2,1,4,Y,1,Travel_Frequently,Research & Development,Other,Male,Human Resources,Married,Yes,13506,Yes
46,797,28,Doctor,High,Very High,1,Medium,5,18,Excellent,Medium,80,3,16,2,Bad,11,1,5,Y,1,Travel_Frequently,Sales,Medical,Female,Research Director,Single,Yes,6236,Yes
47,967,11,College,Low,High,5,Low,3,11,Excellent,Very High,80,0,25,0,Bad,7,1,6,Y,1,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Single,Yes,5664,Yes
36,192,9,Master,Very High,High,1,Low,0,15,Excellent,Medium,80,2,4,5,Better,3,1,7,Y,1,Non-Travel,Human Resources,Medical,Female,Manufacturing Director,Single,No,7998,Yes
37,489,28,Bachelor,Very High,High,2,High,5,11,Excellent,Medium,80,1,12,1,Best,8,1,8,Y,1,Travel_Frequently,Sales,Other,Female,Manufacturing Director,Single,No,2000,No
27,317,2,Master,Low,High,4,Very High,6,19,Low,Very High,80,2,18,0,Better,16,1,9,Y,1,Non-Travel,Human Resources,Medical,Male,Sales Executive,Divorced,Yes,8490,No
37,929,3,Doctor,Very High,Low,5,High,5,13,Excellent,Medium,80,2,12,3,Good,15,1,10,Y,1,Non-Travel,Human Resources,Other,Female,Research Director,Divorced,No,6547,No
51,404,18,Below College,High,Medium,5,High,0,11,Excellent,Very High,80,1,0,3,Best,6,1,11,Y,1,Non-Travel,Sales,Human Resources,Male,Sales Representative,Divorced,No,2000,No
35,274,10,Below College,Low,Low,5,Medium,3,13,Outstanding,Medium,80,0,7,1,Bad,15,1,12,Y,1,Non-Travel,Sales,Other,Male,Manager,Married,No,2000,No
42,848,2,College,High,High,5,High,9,20,Excellent,Low,80,2,2,3,Best,7,1,13,Y,1,Non-Travel,Sales,Life Sciences,Female,Laboratory Technician,Divorced,Yes,4409,Yes
41,1260,28,College,High,High,4,High,6,18,Excellent,Medium,80,2,6,1,Better,0,1,14,Y,1,Non-Travel,Human Resources,Life Sciences,Female,Research Director,Single,No,2000,Yes
29,152,21,Bachelor,Very High,Low,3,Very High,7,23,Outstanding,High,80,3,17,4,Better,4,1,15,Y,1,Travel_Frequently,Sales,Life Sciences,Female,Healthcare Representative,Divorced,No,7794,No
40,817,4,Bachelor,High,Medium,1,Very High,6,15,Low,Very High,80,2,6,2,Good,10,1,16,Y,1,Travel_Frequently,Research & Development,Medical,Male,Research Director,Divorced,No,11785,No
23,1096,3,Master,Medium,High,5,Very High,6,12,Excellent,Very High,80,3,10,3,Bad,0,1,17,Y,1,Non-Travel,Sales,Medical,Female,Research Scientist,Married,Yes,9893,No
52,702,15,Doctor,Low,High,5,Medium,9,16,Excellent,Low,80,1,13,4,Best,9,1,18,Y,1,Travel_Frequently,Sales,Marketing,Male,Human Resources,Single,Yes,15631,No
50,810,22,Below College,Very High,Very High,3,Very High,8,23,Excellent,Very High,80,2,13,2,Better,8,1,19,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Manager,Married,Yes,2000,Yes
37,1226,4,College,Medium,Low,1,Low,9,19,Low,Very High,80,0,7,2,Best,8,1,20,Y,1,Travel_Frequently,Human Resources,Medical,Female,Research Scientist,Divorced,No,10695,Yes
51,759,9,Below College,High,High,2,Low,9,13,Excellent,High,80,2,0,6,Best,8,1,21,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Research Scientist,Divorced,No,5793,Yes
44,784,8,Bachelor,Medium,Medium,2,High,0,12,Outstanding,Medium,80,1,18,4,Best,6,1,22,Y,1,Travel_Rarely,Sales,Technical Degree,Male,Laboratory Technician,Married,No,3234,Yes
44,716,3,Below College,Low,Very High,1,Very High,4,15,Outstanding,Medium,80,1,14,0,Good,9,1,23,Y,1,Travel_Frequently,Human Resources,Medical,Male,Research Scientist,Divorced,Yes,4087,No
22,1373,9,Bachelor,High,High,5,Very High,4,21,Excellent,Very High,80,0,11,0,Better,19,1,24,Y,1,Non-Travel,Research & Development,Life Sciences,Female,Research Director,Married,Yes,6228,No
37,1084,19,Master,Medium,Medium,2,High,1,25,Excellent,High,80,2,16,4,Good,0,1,25,Y,1,Non-Travel,Human Resources,Technical Degree,Male,Sales Representative,Divorced,Yes,6968,Yes
29,971,19,Bachelor,Medium,Very High,2,Very High,1,14,Excellent,High,80,0,21,4,Best,0,1,26,Y,1,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Divorced,No,7628,No
35,767,7,Below College,High,Medium,4,Medium,0,21,Excellent,Very High,80,0,15,5,Bad,14,1,27,Y,1,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single,No,4868,No
41,1250,26,Below College,High,High,5,High,8,17,Outstanding,Medium,80,1,15,5,Bad,2,1,28,Y,1,Non-Travel,Human Resources,Human Resources,Female,Laboratory Technician,Married,No,8873,No
40,1431,20,Below College,High,Medium,1,Low,3,11,Excellent,High,80,1,18,5,Best,5,1,29,Y,1,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Married,No,7144,Yes
25,474,7,Below College,High,Medium,5,High,9,15,Excellent,Medium,80,0,7,1,Bad,7,1,30,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Manager,Married,Yes,2000,No
41,995,2,Bachelor,Very High,High,5,High,8,11,Excellent,High,80,0,2,3,Better,12,1,31,Y,1,Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,3404,Yes
34,1338,26,Below College,High,Medium,5,Very High,3,16,Excellent,High,80,1,0,6,Best,10,1,32,Y,1,Travel_Frequently,Human Resources,Other,Female,Laboratory Technician,Divorced,Yes,3840,Yes
41,1005,7,Master,Very High,Medium,1,Low,1,12,Excellent,Low,80,3,14,3,Good,1,1,33,Y,1,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single,Yes,13232,Yes
27,282,10,Doctor,High,Low,4,Low,8,25,Excellent,Very High,80,1,13,5,Bad,0,1,34,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Laboratory Technician,Single,Yes,4708,Yes
35,1348,2,Below College,Low,Low,3,Low,8,20,Excellent,High,80,3,23,4,Best,2,1,35,Y,1,Travel_Frequently,Research & Development,Life Sciences,Female,Sales Representative,Married,Yes,4066,Yes
18,1002,22,Master,High,Very High,5,Very High,4,14,Excellent,Low,80,3,11,0,Good,8,1,36,Y,1,Travel_Rarely,Research & Development,Marketing,Male,Manager,Married,No,14339,No
37,778,26,Bachelor,Very High,Low,4,Low,9,23,Excellent,High,80,0,5,0,Better,7,1,37,Y,1,Travel_Frequently,Research & Development,Medical,Female,Research Director,Single,No,4143,Yes
31,863,16,Below College,Low,Medium,1,High,6,22,Excellent,Very High,80,2,16,5,Bad,4,1,38,Y,1,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Divorced,No,7449,Yes
45,1338,12,Bachelor,Low,Low,5,Very High,6,12,Excellent,Very High,80,0,15,4,Better,12,1,39,Y,1,Non-Travel,Sales,Technical Degree,Male,Human Resources,Married,Yes,12490,No
33,269,28,College,Very High,Very High,2,Very High,4,11,Good,Low,80,3,19,6,Bad,12,1,40,Y,1,Travel_Frequently,Human Resources,Human Resources,Male,Manager,Divorced,No,2000,Yes
23,729,6,College,Very High,Medium,2,Medium,4,12,Excellent,High,80,1,7,5,Better,3,1,41,Y,1,Non-Travel,Research & Development,Human Resources,Male,Sales Executive,Married,No,3430,Yes
