Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
25,395,23,Bachelor,Medium,Low,2,Low,6,18,Excellent,Very High,80,1,17,1,Good,6,1,1,Y,1,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single,Yes,7598,Yes
53,1372,24,College,High,Low,1,High,3,21,Low,Very High,80,1,13,1,Better,2,1,2,Y,1,Travel_Rarely,Sales,Medical,Female,Manager,Divorced,Yes,14611,Yes
38,1387,13,Below College,Very High,Very High,4,Very High,5,25,Excellent,Very High,80,2,9,5,Better,19,1,3,Y,1,Travel_Rarely,Sales,Human Resources,Male,Research Scientist,Divorced,No,2969,Yes
48,561,7,Doctor,Very High,High,5,Very High,2,19,Excellent,Low,80,3,3,0,Bad,0,1,4,Y,1,Travel_Frequently,Human Resources,Medical,Female,Manufacturing Director,Married,Yes,10327,No
59,380,5,Bachelor,Medium,High,3,Very High,2,25,Outstanding,Low,80,2,0,4,Best,2,1,5,Y,1,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Single,No,2934,No
19,941,7,Master,Medium,High,1,Low,1,24,Excellent,High,80,3,2,1,Best,0,1,6,Y,1,Travel_Frequently,Human Resources,Medical,Female,Laboratory Technician,Single,Yes,2000,Yes
35,946,23,Bachelor,Medium,Low,4,Medium,8,19,Excellent,Medium,80,0,13,5,Better,13,1,7,Y,1,Non-Travel,Research & Development,Human Resources,Male,Manufacturing Director,Married,No,2000,Yes
53,1050,7,College,Low,Medium,2,High,6,18,Low,Medium,80,1,19,1,Better,0,1,8,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Research Director,Married,Yes,10490,No
44,735,25,Master,Medium,High,4,Very High,1,12,Outstanding,High,80,0,9,3,Best,17,1,9,Y,1,Non-Travel,Research & Development,Human Resources,Male,Manager,Divorced,No,13444,No
56,1217,18,Bachelor,High,Medium,3,High,6,19,Excellent,Very High,80,1,14,6,Bad,8,1,10,Y,1,Travel_Frequently,Sales,Medical,Female,Laboratory Technician,Married,No,11611,No
40,222,21,Below College,Low,Very High,4,High,0,20,Excellent,Very High,80,1,9,0,Good,17,1,11,Y,1,Travel_Frequently,Research & Development,Other,Female,Sales Representative,Married,Yes,2000,No
40,1213,3,College,Low,Medium,2,Medium,9,11,Excellent,Very High,80,0,0,0,Bad,7,1,12,Y,1,Travel_Frequently,Human Resources,Other,Male,Research Director,Single,No,8846,Yes
40,290,16,Bachelor,Very High,Medium,1,Medium,2,16,Excellent,Low,80,2,9,2,Best,8,1,13,Y,1,Travel_Frequently,Human Resources,Human Resources,Female,Laboratory Technician,Married,Yes,3200,Yes
37,1154,27,Master,Medium,Medium,1,Very High,2,15,Excellent,Low,80,0,20,2,Good,3,1,14,Y,1,Travel_Rarely,Human Resources,Human Resources,Male,Sales Representative,Divorced,No,2000,No
37,1099,16,Doctor,Medium,Very High,1,Medium,2,21,Excellent,Medium,80,0,11,1,Better,14,1,15,Y,1,Non-Travel,Human Resources,Marketing,Female,Human Resources,Divorced,Yes,8439,No
25,1325,15,Below College,Very High,High,5,Very High,1,18,Excellent,Low,80,3,9,6,Bad,0,1,16,Y,1,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Married,No,8387,No
55,914,27,Doctor,Medium,Very High,2,Very High,1,22,Excellent,Medium,80,2,15,2,Good,7,1,17,Y,1,Travel_Rarely,Research & Development,Marketing,Male,Research Director,Divorced,Yes,3815,No
35,956,7,Master,Medium,Low,1,Medium,0,13,Excellent,High,80,2,0,4,Good,5,1,18,Y,1,Non-Travel,Human Resources,Marketing,Female,Research Director,Married,No,2000,No
29,481,29,Bachelor,Low,Low,2,Very High,8,14,Excellent,High,80,0,11,4,Best,2,1,19,Y,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married,No,5288,Yes
23,592,26,Bachelor,Low,High,3,Low,5,13,Excellent,Medium,80,3,14,2,Bad,9,1,20,Y,1,Travel_Frequently,Human Resources,Medical,Male,Manufacturing Director,Divorced,No,4381,Yes
34,853,22,Below College,High,Medium,2,Medium,4,20,Outstanding,High,80,3,0,3,Best,1,1,21,Y,1,Non-Travel,Sales,Technical Degree,Male,Human Resources,Divorced,Yes,2154,No
34,664,29,Doctor,High,Medium,5,Low,3,13,Excellent,Low,80,3,18,1,Good,8,1,22,Y,1,Travel_Rarely,Human Resources,Life Sciences,Female,Healthcare Representative,Single,Yes,4301,Yes
35,523,3,Doctor,Low,Low,5,Very High,1,13,Excellent,Very High,80,2,4,4,Better,12,1,23,Y,1,Non-Travel,Human Resources,Life Sciences,Male,Manager,Divorced,No,8742,No
42,1471,2,Bachelor,Low,Medium,3,Very High,3,21,Good,Very High,80,1,12,5,Best,0,1,24,Y,1,Non-Travel,Research & Development,Marketing,Female,Sales Representative,Single,Yes,3849,No
53,130,11,Master,High,High,5,Very High,1,16,Excellent,Very High,80,2,7,6,Better,13,1,25,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Sales Executive,Married,Yes,9756,Yes
53,351,24,College,Very High,Medium,2,Medium,6,25,Excellent,High,80,1,9,4,Bad,7,1,26,Y,1,Travel_Frequently,Research & Development,Other,Male,Manufacturing Director,Single,No,14562,Yes
24,860,26,Master,Low,High,5,Low,6,22,Excellent,Low,80,2,9,5,Best,9,1,27,Y,1,Non-Travel,Human Resources,Marketing,Male,Healthcare Representative,Single,No,17848,Yes
29,698,13,College,Low,Medium,5,Very High,9,23,Excellent,High,80,1,10,2,Good,8,1,28,Y,1,Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Single,No,10622,Yes
62,1433,14,Below College,High,Medium,3,Low,8,13,Excellent,Medium,80,3,0,1,Best,9,1,29,Y,1,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Single,Yes,3397,Yes
44,1160,26,Master,Low,Very High,3,High,9,14,Excellent,Very High,80,0,21,4,Better,1,1,30,Y,1,Travel_Rarely,Research & Development,Life Sciences,Male,Human Resources,Divorced,Yes,13642,No
41,445,16,Doctor,Medium,Low,3,High,3,12,Excellent,High,80,1,2,5,Good,10,1,31,Y,1,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,8572,Yes
40,1353,8,Bachelor,High,Low,2,High,3,12,Excellent,Medium,80,2,33,3,Bad,11,1,32,Y,1,Travel_Frequently,Human Resources,Technical Degree,Male,Manager,Divorced,No,3317,No
36,743,15,Master,High,Very High,2,Medium,5,24,Low,High,80,2,10,0,Best,14,1,33,Y,1,Travel_Frequently,Human Resources,Technical Degree,Male,Manager,Divorced,No,6337,Yes
43,1329,3,Bachelor,Very High,Medium,1,High,0,25,Excellent,Medium,80,2,9,1,Best,15,1,34,Y,1,Non-Travel,Human Resources,Medical,Male,Sales Representative,Single,Yes,2000,Yes
41,330,24,Master,High,Medium,2,Very High,6,20,Excellent,Very High,80,2,13,6,Good,7,1,35,Y,1,Travel_Frequently,Sales,Technical Degree,Female,Human Resources,Divorced,No,2000,No
38,499,4,Bachelor,Low,Very High,5,Very High,8,21,Outstanding,Very High,80,3,7,2,Better,0,1,36,Y,1,Travel_Rarely,Human Resources,Marketing,Male,Sales Executive,Married,No,2000,No
35,782,12,College,High,High,4,Low,3,14,Outstanding,Very High,80,0,12,3,Bad,0,1,37,Y,1,Non-Travel,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,9195,Yes
41,831,29,Below College,Low,Low,1,Medium,3,23,Excellent,Low,80,1,8,3,Good,0,1,38,Y,1,Travel_Frequently,Sales,Human Resources,Male,Laboratory Technician,Divorced,No,7345,No
26,861,22,College,Very High,High,1,High,0,22,Excellent,High,80,2,0,4,Bad,3,1,39,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Laboratory Technician,Divorced,Yes,9252,No
42,623,17,College,Medium,High,1,Medium,3,11,Excellent,Very High,80,0,22,3,Good,7,1,40,Y,1,Travel_Frequently,Research & Development,Human Resources,Female,Research Scientist,Divorced,No,9848,No
37,814,16,Doctor,High,Very High,3,Very High,3,13,Good,Low,80,1,20,2,Better,3,1,41,Y,1,Non-Travel,Human Resources,Marketing,Male,Sales Representative,Divorced,Yes,5458,No
42,768,20,College,Medium,Medium,4,Low,4,14,Low,High,80,2,20,5,Best,5,1,42,Y,1,Travel_Frequently,Sales,Human Resources,Male,Manager,Single,Yes,2000,Yes
39,330,25,Below College,Low,Low,1,High,3,23,Excellent,High,80,0,0,6,Best,12,1,43,Y,1,Non-Travel,Human Resources,Technical Degree,Female,Research Director,Divorced,No,3079,No
39,925,1,College,Low,Low,5,High,5,19,Excellent,Medium,80,0,3,2,Better,7,1,44,Y,1,Non-Travel,Research & Development,Life Sciences,Male,Manager,Single,No,11439,No
50,750,26,Master,Low,Medium,5,High,6,21,Excellent,Low,80,1,22,0,Bad,0,1,45,Y,1,Non-Travel,Human Resources,Medical,Female,Healthcare Representative,Divorced,No,8183,No
31,1298,5,College,Medium,Low,2,Very High,3,11,Excellent,Medium,80,1,16,0,Best,6,1,46,Y,1,Non-Travel,Human Resources,Marketing,Female,Sales Representative,Married,Yes,7576,No
35,798,12,College,High,Medium,2,Medium,8,21,Excellent,Medium,80,2,0,4,Bad,10,1,47,Y,1,Non-Travel,Research & Development,Marketing,Female,Manager,Divorced,No,3621,No
23,1033,20,Master,Very High,Medium,1,High,2,22,Outstanding,High,80,0,6,4,Good,21,1,48,Y,1,Travel_Rarely,Sales,Life Sciences,Male,Manufacturing Director,Single,Yes,6339,Yes
37,1002,10,Doctor,High,Low,1,High,2,13,Excellent,Medium,80,3,25,0,Bad,4,1,49,Y,1,Non-Travel,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,3029,No
37,499,2,Master,High,Medium,3,Medium,0,17,Good,Low,80,0,20,6,Best,6,1,50,Y,1,Travel_Rarely,Human Resources,Life Sciences,Female,Healthcare Representative,Divorced,No,9678,Yes
28,601,7,Doctor,Medium,Low,4,Medium,6,13,Outstanding,Medium,80,1,12,6,Good,6,1,51,Y,1,Travel_Frequently,Human Resources,Human Resources,Female,Research Scientist,Single,Yes,3617,No
33,925,9,College,Low,Low,4,High,2,12,Excellent,Very High,80,0,10,3,Best,14,1,52,Y,1,Travel_Frequently,Sales,Medical,Male,Human Resources,Single,No,11002,Yes
38,1110,5,Doctor,Very High,Medium,4,Medium,0,13,Excellent,Medium,80,1,11,0,Bad,3,1,53,Y,1,Travel_Rarely,Human Resources,Technical Degree,Female,Human Resources,Single,Yes,14651,No
33,228,9,Below College,High,Very High,3,Low,7,17,Excellent,Low,80,0,0,2,Better,5,1,54,Y,1,Non-Travel,Sales,Life Sciences,Male,Research Scientist,Divorced,No,2000,Yes
37,1434,20,Master,Medium,Very High,1,Very High,3,18,Excellent,Medium,80,0,14,0,Better,10,1,55,Y,1,Non-Travel,Sales,Technical Degree,Female,Healthcare Representative,Married,Yes,2139,Yes
