Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
24,230,29,Doctor,Low,High,3,High,4,16,Excellent,High,80,3,16,2,Best,8,1,1,Y,1,Travel_Rarely,Sales,Technical Degree,Male,Research Director,Divorced,Yes,7508,Yes
36,155,1,Below College,Very High,High,5,High,6,24,Excellent,High,80,1,0,6,Good,1,1,2,Y,1,Travel_Rarely,Human Resources,Human Resources,Male,Sales Representative,Married,Yes,6370,Yes
32,920,9,Master,Medium,Medium,2,Low,6,24,Excellent,High,80,3,9,4,Bad,0,1,3,Y,1,Travel_Rarely,Sales,Other,Male,Research Scientist,Single,No,2000,Yes
39,564,3,Doctor,Very High,Medium,3,Very High,3,25,Excellent,Low,80,1,16,6,Bad,13,1,4,Y,1,Travel_Frequently,Research & Development,Medical,Male,Human Resources,Single,Yes,4193,Yes
32,333,20,College,Medium,Very High,4,Medium,7,25,Excellent,Low,80,3,20,2,Good,9,1,5,Y,1,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Married,No,9386,No
39,817,26,Doctor,High,Medium,1,Low,4,13,Excellent,Very High,80,0,5,6,Better,0,1,6,Y,1,Non-Travel,Research & Development,Life Sciences,Female,Human Resources,Married,No,14032,Yes
44,939,10,College,High,Low,2,Low,7,24,Excellent,Low,80,0,5,5,Good,0,1,7,Y,1,Non-Travel,Human Resources,Life Sciences,Female,Research Director,Married,No,7854,Yes
37,1341,25,Below College,High,Medium,2,High,7,18,Excellent,High,80,3,20,2,Bad,9,1,8,Y,1,Travel_Frequently,Sales,Other,Male,Sales Representative,Married,Yes,12930,No
59,795,5,College,Low,Medium,5,High,1,11,Excellent,Low,80,3,7,6,Bad,22,1,9,Y,1,Travel_Rarely,Research & Development,Life Sciences,Male,Human Resources,Married,No,13943,Yes
30,1162,7,Master,Very High,Low,4,High,0,12,Excellent,Medium,80,2,22,2,Good,12,1,10,Y,1,Travel_Frequently,Human Resources,Technical Degree,Male,Manager,Single,No,10688,No
31,349,7,College,Very High,Low,4,Medium,6,15,Excellent,High,80,2,0,5,Better,0,1,11,Y,1,Travel_Frequently,Sales,Human Resources,Female,Sales Executive,Married,No,5919,No
37,972,8,Bachelor,Medium,High,3,High,5,15,Excellent,Medium,80,1,11,5,Best,8,1,12,Y,1,Non-Travel,Human Resources,Other,Male,Healthcare Representative,Divorced,No,7258,Yes
35,188,25,College,Very High,Very High,5,Low,6,23,Excellent,High,80,2,18,5,Good,5,1,13,Y,1,Non-Travel,Research & Development,Marketing,Male,Research Scientist,Divorced,Yes,2000,Yes
29,618,26,Master,Medium,Medium,4,Very High,0,20,Excellent,Low,80,0,10,3,Bad,11,1,14,Y,1,Travel_Frequently,Research & Development,Human Resources,Male,Manager,Married,Yes,6195,No
21,311,28,Master,Medium,High,4,Very High,8,20,Excellent,Low,80,3,12,6,Better,9,1,15,Y,1,Non-Travel,Research & Development,Human Resources,Female,Laboratory Technician,Divorced,No,2000,Yes
46,1326,21,Master,Medium,Low,2,High,7,13,Excellent,High,80,0,11,2,Best,2,1,16,Y,1,Travel_Rarely,Human Resources,Technical Degree,Male,Research Director,Married,Yes,7967,Yes
29,729,4,Master,High,Medium,3,Very High,9,17,Excellent,High,80,1,12,0,Good,7,1,17,Y,1,Travel_Frequently,Sales,Medical,Male,Manufacturing Director,Divorced,Yes,10236,Yes
26,598,26,College,Medium,High,3,Medium,9,17,Excellent,Medium,80,2,17,4,Better,4,1,18,Y,1,Non-Travel,Human Resources,Other,Male,Manufacturing Director,Married,Yes,8710,No
46,1462,11,Master,Very High,Medium,4,Low,3,12,Good,High,80,3,15,2,Good,0,1,19,Y,1,Non-Travel,Human Resources,Other,Female,Healthcare Representative,Divorced,No,4390,Yes
39,765,25,College,High,Medium,2,Low,2,21,Low,Low,80,0,6,0,Bad,0,1,20,Y,1,Travel_Frequently,Sales,Human Resources,Male,Sales Representative,Divorced,Yes,7493,Yes
35,1343,22,Master,Low,Very High,1,High,9,24,Excellent,High,80,3,0,3,Good,17,1,21,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Human Resources,Married,Yes,13773,Yes
34,715,13,Master,Very High,Medium,3,Very High,5,17,Excellent,Low,80,3,9,2,Better,0,1,22,Y,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,4090,No
34,436,14,Below College,Low,Very High,3,High,0,19,Low,Low,80,0,5,6,Good,9,1,23,Y,1,Travel_Frequently,Research & Development,Marketing,Male,Human Resources,Single,No,10481,No
37,656,8,Below College,Very High,High,4,Very High,0,24,Excellent,High,80,3,3,2,Better,15,1,24,Y,1,Non-Travel,Research & Development,Human Resources,Male,Sales Executive,Divorced,No,6489,Yes
