Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
53,1408,21,Below College,Low,Medium,4,Very High,3,15,Excellent,Medium,80,0,8,1,Good,4,1,1,Y,1,Non-Travel,Research & Development,Life Sciences,Male,Sales Executive,Divorced,No,10832,No
41,345,15,Master,High,Very High,4,Medium,6,20,Excellent,Low,80,1,17,4,Good,14,1,2,Y,1,Travel_Frequently,Human Resources,Medical,Male,Sales Executive,Married,Yes,9448,Yes
37,655,26,Below College,Low,Low,2,High,2,21,Outstanding,Very High,80,0,8,6,Good,10,1,3,Y,1,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,Yes,12885,Yes
46,1490,29,Doctor,Low,High,1,Very High,6,19,Excellent,High,80,3,11,4,Bad,15,1,4,Y,1,Travel_Frequently,Human Resources,Medical,Male,Manager,Married,Yes,6735,Yes
37,1224,17,Bachelor,High,Very High,2,High,6,22,Excellent,Low,80,0,2,5,Bad,10,1,5,Y,1,Travel_Rarely,Human Resources,Technical Degree,Male,Research Scientist,Married,Yes,2000,No
36,605,20,Master,Very High,Low,4,Low,2,19,Excellent,High,80,0,6,2,Bad,0,1,6,Y,1,Travel_Frequently,Research & Development,Technical Degree,Female,Manager,Married,Yes,12536,No
41,189,28,Below College,High,Very High,2,Low,7,19,Outstanding,Low,80,2,0,2,Bad,0,1,7,Y,1,Non-Travel,Human Resources,Medical,Male,Research Scientist,Single,Yes,15074,Yes
45,610,5,Below College,Medium,Low,1,High,3,15,Excellent,Medium,80,1,9,1,Bad,11,1,8,Y,1,Travel_Rarely,Sales,Human Resources,Female,Sales Executive,Divorced,Yes,2000,No
17,925,2,Below College,Very High,Low,4,Medium,9,22,Low,High,80,2,1,6,Bad,10,1,9,Y,1,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,Yes,2000,Yes
32,882,25,College,Very High,Very High,3,High,2,21,Excellent,High,80,1,5,0,Bad,11,1,10,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Human Resources,Married,Yes,13056,No
20,1177,21,Doctor,Medium,Very High,3,High,1,18,Outstanding,Very High,80,3,0,3,Bad,9,1,11,Y,1,Travel_Frequently,Sales,Medical,Male,Laboratory Technician,Married,Yes,10097,Yes
34,1212,29,Below College,Low,Low,1,Very High,2,16,Excellent,Very High,80,2,0,6,Bad,10,1,12,Y,1,Non-Travel,Human Resources,Human Resources,Female,Research Director,Single,No,5983,No
24,780,11,Below College,Very High,High,2,Low,5,16,Excellent,Medium,80,3,0,2,Good,4,1,13,Y,1,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Divorced,Yes,2000,Yes
42,373,15,Master,Very High,High,3,Very High,8,22,Excellent,Very High,80,3,6,6,Bad,1,1,14,Y,1,Travel_Frequently,Human Resources,Technical Degree,Female,Sales Executive,Married,Yes,2000,Yes
19,1205,6,Below College,Medium,Very High,3,Low,3,11,Good,Low,80,1,13,3,Good,3,1,15,Y,1,Non-Travel,Research & Development,Marketing,Male,Manager,Single,No,7722,No
47,1225,17,Master,High,Very High,3,High,5,11,Outstanding,Medium,80,0,20,1,Bad,11,1,16,Y,1,Travel_Frequently,Sales,Life Sciences,Female,Healthcare Representative,Single,Yes,10164,No
51,1025,13,Bachelor,Medium,Low,3,High,5,18,Good,Low,80,2,21,3,Good,8,1,17,Y,1,Non-Travel,Sales,Human Resources,Female,Research Director,Divorced,No,7440,No
48,901,5,Below College,High,Very High,4,High,9,24,Excellent,Very High,80,1,6,6,Good,6,1,18,Y,1,Non-Travel,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,Yes,6912,Yes
47,214,10,Bachelor,Low,High,5,Low,8,18,Outstanding,Very High,80,2,0,4,Good,1,1,19,Y,1,Travel_Frequently,Human Resources,Other,Male,Human Resources,Single,Yes,11749,Yes
37,954,25,College,Low,Very High,5,Medium,0,11,Excellent,High,80,0,13,5,Good,7,1,20,Y,1,Non-Travel,Human Resources,Marketing,Male,Manager,Divorced,No,9547,No
49,132,17,Below College,Low,Low,4,Medium,4,12,Excellent,Medium,80,3,8,0,Good,0,1,21,Y,1,Travel_Frequently,Sales,Human Resources,Male,Manager,Single,Yes,13848,Yes
27,1353,12,Below College,Medium,Low,5,Very High,4,17,Good,High,80,3,10,3,Bad,2,1,22,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,Divorced,Yes,3458,Yes
32,472,19,College,Very High,Low,1,Low,1,21,Low,Low,80,0,18,2,Good,2,1,23,Y,1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,16856,No
40,1328,8,Below College,Low,Low,3,Very High,0,22,Excellent,Medium,80,3,16,1,Bad,5,1,24,Y,1,Travel_Rarely,Human Resources,Other,Female,Sales Executive,Single,Yes,2704,No
34,1465,6,Doctor,Very High,Very High,4,Medium,9,21,Excellent,High,80,1,9,6,Bad,15,1,25,Y,1,Non-Travel,Human Resources,Marketing,Male,Manufacturing Director,Divorced,Yes,16088,Yes
46,1147,28,Below College,Low,Medium,5,High,0,16,Excellent,Low,80,1,7,5,Good,17,1,26,Y,1,Non-Travel,Sales,Technical Degree,Female,Research Scientist,Married,Yes,2000,Yes
25,780,28,College,High,Very High,4,Low,8,18,Excellent,High,80,0,16,0,Bad,16,1,27,Y,1,Non-Travel,Human Resources,Other,Female,Sales Executive,Single,Yes,2000,Yes
51,913,18,Bachelor,Medium,Very High,4,Medium,8,20,Excellent,Medium,80,0,2,2,Bad,3,1,28,Y,1,Travel_Frequently,Human Resources,Marketing,Female,Manufacturing Director,Married,Yes,5627,No
23,440,3,Below College,Medium,High,3,Low,6,23,Good,Medium,80,3,7,2,Bad,13,1,29,Y,1,Non-Travel,Research & Development,Human Resources,Female,Research Scientist,Single,Yes,2000,Yes
34,1179,21,Bachelor,Very High,Very High,5,Very High,1,22,Excellent,Medium,80,3,12,6,Bad,10,1,30,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,Married,Yes,4257,No
26,655,23,Bachelor,Very High,Very High,3,Medium,1,25,Excellent,Medium,80,0,11,6,Bad,10,1,31,Y,1,Travel_Rarely,Sales,Other,Male,Manager,Divorced,Yes,2000,Yes
28,792,26,Below College,Low,Low,2,Low,5,18,Outstanding,Low,80,3,0,3,Bad,3,1,32,Y,1,Travel_Frequently,Sales,Other,Male,Manager,Divorced,Yes,16488,No
33,1162,4,Bachelor,Low,Medium,2,High,9,20,Excellent,Very High,80,2,8,6,Good,9,1,33,Y,1,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,Yes,8578,No
46,455,13,College,Medium,Very High,4,High,5,25,Excellent,Medium,80,0,22,0,Bad,6,1,34,Y,1,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,Yes,6964,No
37,828,23,Doctor,High,Low,4,High,1,21,Excellent,High,80,0,11,0,Good,9,1,35,Y,1,Travel_Frequently,Research & Development,Technical Degree,Female,Manager,Single,Yes,5666,Yes
34,334,21,Bachelor,Very High,Medium,1,Medium,9,11,Excellent,Low,80,2,17,6,Bad,0,1,36,Y,1,Travel_Frequently,Sales,Human Resources,Male,Sales Representative,Single,No,12086,No
