Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
50,991,28,Bachelor,Medium,Medium,2,Medium,3,20,Excellent,Very High,80,1,0,0,Bad,0,1,1,Y,1,Non-Travel,Research & Development,Marketing,Female,Healthcare Representative,Married,Yes,5925,No
50,752,29,Doctor,High,Very High,2,Very High,1,21,Excellent,High,80,1,5,4,Good,11,1,2,Y,1,Travel_Frequently,Research & Development,Other,Female,Human Resources,Divorced,No,6796,No
32,272,28,College,High,Medium,5,High,4,19,Excellent,Very High,80,2,0,0,Better,13,1,3,Y,1,Non-Travel,Human Resources,Life Sciences,Female,Sales Executive,Divorced,No,4937,No
38,840,14,Bachelor,High,Low,5,Low,6,11,Excellent,High,80,2,13,6,Bad,20,1,4,Y,1,Travel_Frequently,Research & Development,Human Resources,Male,Human Resources,Single,Yes,3126,Yes
27,962,29,Master,Medium,High,3,Low,4,15,Outstanding,Very High,80,0,16,3,Bad,0,1,5,Y,1,Non-Travel,Sales,Marketing,Male,Sales Representative,Divorced,Yes,14135,Yes
42,547,25,College,Very High,Medium,4,Low,4,21,Excellent,High,80,1,21,4,Better,19,1,6,Y,1,Non-Travel,Human Resources,Life Sciences,Male,Sales Executive,Single,Yes,8376,Yes
24,1363,15,College,Low,Very High,3,Low,9,23,Low,Medium,80,0,17,3,Better,16,1,7,Y,1,Travel_Rarely,Human Resources,Medical,Male,Sales Executive,Single,Yes,2000,Yes
33,191,6,Master,Low,Very High,3,High,4,23,Excellent,Medium,80,2,7,5,Better,0,1,8,Y,1,Travel_Rarely,Sales,Other,Male,Sales Representative,Divorced,No,8768,Yes
25,1081,11,Master,Medium,Very High,3,Very High,8,20,Excellent,Low,80,1,5,0,Good,10,1,9,Y,1,Travel_Frequently,Research & Development,Other,Male,Manager,Single,No,7127,No
34,892,10,Master,Medium,Very High,4,Low,1,19,Excellent,Very High,80,0,7,1,Better,0,1,10,Y,1,Travel_Rarely,Sales,Medical,Male,Healthcare Representative,Married,No,2000,Yes
43,281,6,College,Medium,Low,2,Medium,9,23,Excellent,Very High,80,0,6,4,Good,7,1,11,Y,1,Non-Travel,Research & Development,Technical Degree,Male,Research Scientist,Divorced,No,3165,No
26,987,27,Doctor,Low,High,1,Very High,4,20,Excellent,High,80,1,8,3,Good,14,1,12,Y,1,Travel_Rarely,Sales,Human Resources,Female,Manufacturing Director,Married,Yes,10619,No
17,1265,25,Master,High,Very High,5,Very High,2,17,Excellent,Very High,80,3,0,4,Best,9,1,13,Y,1,Travel_Rarely,Sales,Human Resources,Male,Research Director,Married,No,2000,Yes
36,1176,16,Bachelor,Low,Very High,3,Very High,8,19,Outstanding,High,80,3,12,2,Bad,16,1,14,Y,1,Non-Travel,Research & Development,Marketing,Male,Research Director,Married,Yes,8726,No
42,1150,7,Below College,Low,Medium,3,Medium,0,22,Excellent,Very High,80,2,28,1,Best,20,1,15,Y,1,Travel_Frequently,Research & Development,Medical,Female,Manager,Divorced,Yes,6257,Yes
47,653,2,Master,Very High,High,2,High,9,13,Excellent,Low,80,2,26,3,Good,4,1,16,Y,1,Travel_Rarely,Human Resources,Medical,Male,Sales Representative,Married,Yes,2000,No
37,1484,23,Bachelor,High,Very High,5,Very High,8,25,Good,Low,80,3,4,2,Better,0,1,17,Y,1,Travel_Rarely,Sales,Marketing,Male,Healthcare Representative,Married,No,2000,Yes
32,1106,18,Below College,High,Medium,2,Very High,4,25,Excellent,Low,80,3,6,1,Better,14,1,18,Y,1,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,Yes,3208,Yes
36,640,21,Master,Very High,Medium,3,Very High,0,15,Outstanding,High,80,2,6,2,Better,12,1,19,Y,1,Travel_Rarely,Sales,Marketing,Male,Healthcare Representative,Single,No,4411,Yes
26,1127,19,Below College,Medium,High,2,Medium,2,14,Excellent,Medium,80,3,10,1,Good,5,1,20,Y,1,Non-Travel,Human Resources,Human Resources,Female,Manufacturing Director,Divorced,Yes,5756,No
34,1200,27,Master,Very High,Very High,5,Very High,8,23,Excellent,Very High,80,0,3,1,Better,0,1,21,Y,1,Non-Travel,Research & Development,Human Resources,Male,Manufacturing Director,Single,No,2812,Yes
36,1138,26,College,Low,Low,1,Low,1,16,Excellent,High,80,0,25,3,Bad,2,1,22,Y,1,Travel_Rarely,Research & Development,Marketing,Female,Manager,Single,Yes,2000,Yes
48,295,19,College,High,High,3,High,5,11,Excellent,High,80,2,1,2,Bad,12,1,23,Y,1,Non-Travel,Sales,Technical Degree,Female,Sales Executive,Divorced,No,6038,No
39,1350,17,Doctor,Medium,Medium,3,Medium,0,18,Excellent,Medium,80,0,11,2,Better,13,1,24,Y,1,Travel_Frequently,Sales,Other,Male,Research Director,Divorced,Yes,14804,No
30,1049,27,Bachelor,Medium,Medium,4,Very High,9,22,Excellent,Very High,80,2,4,3,Better,10,1,25,Y,1,Travel_Rarely,Research & Development,Other,Female,Human Resources,Married,Yes,11410,No
24,640,17,Master,Medium,High,5,High,6,25,Excellent,Medium,80,3,11,0,Good,0,1,26,Y,1,Non-Travel,Sales,Technical Degree,Male,Sales Executive,Divorced,Yes,6421,No
24,968,25,Bachelor,Very High,High,1,Very High,8,23,Excellent,High,80,0,7,3,Good,8,1,27,Y,1,Travel_Rarely,Human Resources,Life Sciences,Male,Research Scientist,Single,Yes,2000,Yes
22,1433,2,Bachelor,Medium,Medium,5,Low,5,15,Excellent,High,80,0,9,6,Bad,6,1,28,Y,1,Travel_Frequently,Research & Development,Human Resources,Female,Laboratory Technician,Single,No,7029,Yes
41,1389,27,College,Very High,Very High,2,Medium,5,15,Excellent,Medium,80,1,19,2,Better,12,1,29,Y,1,Non-Travel,Research & Development,Other,Male,Healthcare Representative,Single,No,5932,No
30,1250,1,Doctor,Low,Very High,1,Very High,4,13,Excellent,Low,80,3,17,4,Better,0,1,30,Y,1,Non-Travel,Research & Development,Technical Degree,Female,Healthcare Representative,Married,No,2000,No
28,1230,23,College,Very High,Medium,4,Very High,7,24,Excellent,High,80,3,19,4,Better,2,1,31,Y,1,Travel_Frequently,Research & Development,Human Resources,Male,Manufacturing Director,Married,No,2000,No
37,534,10,Doctor,High,Medium,5,High,9,24,Excellent,Medium,80,2,15,0,Bad,6,1,32,Y,1,Travel_Rarely,Research & Development,Medical,Female,Human Resources,Divorced,Yes,2000,No
53,1059,20,College,High,High,5,Very High,1,19,Outstanding,Low,80,0,0,3,Better,8,1,33,Y,1,Travel_Frequently,Human Resources,Other,Female,Sales Representative,Single,Yes,10156,No
49,1354,11,Doctor,Medium,Medium,4,Very High,0,14,Low,Medium,80,2,4,5,Bad,12,1,34,Y,1,Non-Travel,Research & Development,Other,Male,Sales Executive,Married,Yes,2908,No
30,624,23,Below College,High,High,1,Very High,2,21,Excellent,Very High,80,1,8,6,Good,0,1,35,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Human Resources,Single,Yes,8358,Yes
33,1318,8,Doctor,High,Low,4,Medium,1,12,Good,Medium,80,3,9,3,Better,8,1,36,Y,1,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Divorced,Yes,2000,No
52,836,3,Below College,Low,High,3,Medium,7,16,Excellent,Low,80,3,13,2,Bad,7,1,37,Y,1,Non-Travel,Research & Development,Medical,Male,Human Resources,Married,No,12971,Yes
36,974,23,Bachelor,High,Low,4,Medium,0,19,Excellent,Low,80,3,0,3,Bad,16,1,38,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Human Resources,Divorced,Yes,3049,No
36,781,23,Doctor,Low,Low,5,Low,8,17,Excellent,Very High,80,0,4,4,Bad,2,1,39,Y,1,Travel_Frequently,Human Resources,Human Resources,Female,Laboratory Technician,Divorced,Yes,8842,Yes
16,278,28,Below College,Low,Low,5,Low,7,16,Excellent,High,80,1,15,4,Good,10,1,40,Y,1,Travel_Rarely,Research & Development,Other,Female,Healthcare Representative,Single,Yes,8760,Yes
37,950,26,College,High,Medium,4,Low,0,15,Outstanding,High,80,1,2,6,Good,2,1,41,Y,1,Travel_Rarely,Sales,Technical Degree,Male,Laboratory Technician,Single,Yes,5707,Yes
42,1023,21,Doctor,High,Low,1,Low,6,14,Outstanding,High,80,2,16,4,Best,10,1,42,Y,1,Travel_Rarely,Sales,Human Resources,Female,Research Director,Single,No,11035,Yes
52,730,5,Master,Low,Medium,2,Very High,5,22,Excellent,Very High,80,3,2,2,Good,8,1,43,Y,1,Non-Travel,Human Resources,Other,Female,Manager,Married,Yes,2000,No
33,1407,24,Below College,High,Medium,3,Low,9,22,Excellent,Low,80,2,0,4,Better,8,1,44,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Manufacturing Director,Married,Yes,5783,Yes
